distractor,question_id
1992,1
512,1
29,1
3613,1
9752,2
4023,2
29,2
6944,3
9688,3
30,3
3312,4
9837,4
30,4
1074,5
6317,5
41,5
5956,6
3926,6
47,6
8227,7
4795,7
47,7
3299,7
275,8
5611,8
47,8
9816,9
6575,9
53,9
2871,9
8136,10
6972,10
54,10
7153,11
7946,11
54,11
6944,12
4357,12
61,12
6751,12
7564,13
98,13
67,13
4113,14
6426,14
70,14
4899,15
2595,15
98,15
8983,15
6264,16
3577,16
100,16
7051,16
3448,17
1714,17
107,17
4423,17
3624,18
1628,18
110,18
6399,18
7116,19
6374,19
110,19
2783,19
6808,20
8947,20
110,20
5903,20
9004,21
3214,21
116,21
9150,22
3174,22
118,22
447,22
3176,23
7348,23
132,23
8649,24
8243,24
133,24
2486,24
8685,25
1374,25
134,25
8722,26
8300,26
134,26
4005,26
9913,27
4769,27
146,27
8157,27
6057,28
1682,28
150,28
7433,28
8657,29
2708,29
162,29
4150,29
2864,30
1068,30
163,30
1047,30
9589,31
7037,31
173,31
4015,31
3451,32
7795,32
173,32
6725,32
4840,33
2416,33
179,33
1542,34
7493,34
182,34
5808,35
9995,35
182,35
4010,36
3879,36
183,36
368,37
99,37
187,37
9719,37
7025,38
9146,38
187,38
8585,39
2162,39
190,39
9690,40
5746,40
194,40
3519,40
509,41
8531,41
207,41
2928,42
2721,42
223,42
7016,43
4204,43
224,43
643,44
3397,44
230,44
9103,45
950,45
231,45
3304,46
680,46
232,46
5432,47
7846,47
239,47
6155,48
9104,48
242,48
4347,48
8082,49
8282,49
245,49
9174,49
7003,50
5347,50
252,50
7737,51
1452,51
258,51
1713,52
8530,52
275,52
6981,52
4345,53
927,53
289,53
4722,54
4687,54
301,54
2141,54
6000,55
2961,55
308,55
9515,56
7892,56
310,56
9859,56
3107,57
606,57
317,57
9610,58
8276,58
317,58
8219,59
5491,59
319,59
3921,59
2680,60
7826,60
332,60
7457,61
4263,61
334,61
8069,61
114,62
830,62
335,62
7368,63
6410,63
339,63
5942,63
8456,64
6267,64
340,64
2921,65
7466,65
351,65
3415,65
1329,66
3610,66
356,66
6286,67
8530,67
358,67
1303,67
80,68
331,68
362,68
9221,68
8121,69
9642,69
363,69
7051,70
1428,70
366,70
9634,71
3626,71
366,71
5592,72
9074,72
370,72
4242,72
671,73
8406,73
375,73
5056,74
8689,74
378,74
5635,74
7720,75
4889,75
383,75
3454,75
5440,76
41,76
384,76
5393,76
3464,77
1465,77
390,77
1811,78
9404,78
390,78
2991,78
8353,79
3890,79
392,79
3944,80
7033,80
392,80
3860,80
5408,81
7756,81
413,81
7610,82
5316,82
418,82
5753,83
3763,83
419,83
3993,84
4746,84
427,84
8171,85
8500,85
445,85
3038,85
8384,86
4767,86
447,86
7098,87
6883,87
450,87
3495,87
6000,88
6596,88
452,88
1325,88
4423,89
69,89
454,89
8455,89
3304,90
1049,90
460,90
8670,90
5267,91
4292,91
461,91
1496,92
4633,92
467,92
9069,92
2665,93
3087,93
469,93
1751,93
4875,94
1764,94
473,94
8664,95
3706,95
473,95
6121,96
7314,96
475,96
7437,96
7418,97
1923,97
477,97
4427,97
3080,98
8826,98
479,98
5088,99
321,99
480,99
1975,99
2153,100
8295,100
485,100
7797,100
9801,101
9208,101
485,101
8608,102
5239,102
489,102
6425,103
3994,103
498,103
6591,104
8847,104
503,104
1424,105
68,105
507,105
351,105
9771,106
8506,106
507,106
3439,107
107,107
527,107
3613,107
9808,108
2019,108
527,108
5083,109
8012,109
533,109
2988,110
7747,110
540,110
9429,110
3712,111
3900,111
545,111
1777,112
2999,112
566,112
8456,113
5290,113
566,113
4281,114
9212,114
566,114
4497,114
4005,115
8466,115
572,115
4701,115
9065,116
9844,116
572,116
6624,117
1889,117
574,117
4840,118
6170,118
574,118
8538,119
6547,119
582,119
725,119
7916,120
8677,120
582,120
3245,120
3209,121
131,121
583,121
5706,122
3628,122
594,122
9376,123
3684,123
596,123
8538,123
4443,124
6947,124
596,124
7579,124
8920,125
6998,125
598,125
1994,126
2764,126
609,126
2604,127
7380,127
621,127
2713,127
9010,128
6596,128
634,128
7457,129
1092,129
637,129
7990,129
610,130
795,130
639,130
7170,131
9324,131
643,131
4633,132
2118,132
655,132
7999,133
6482,133
655,133
8264,134
6872,134
660,134
4415,134
7288,135
2613,135
662,135
8436,136
2478,136
670,136
3691,137
3150,137
671,137
9450,138
9014,138
671,138
6877,139
5422,139
686,139
6529,140
5629,140
686,140
6509,140
1603,141
6547,141
686,141
3938,142
2415,142
692,142
5575,142
6358,143
2363,143
693,143
1251,143
6761,144
197,144
694,144
3196,145
4653,145
694,145
2061,145
5960,146
7648,146
694,146
7915,146
8657,147
5170,147
700,147
1836,147
9146,148
6831,148
701,148
2591,148
6338,149
7006,149
710,149
670,149
7170,150
7563,150
725,150
3047,150
2354,151
7868,151
725,151
489,152
8532,152
734,152
6316,153
3117,153
735,153
3897,154
7275,154
740,154
6616,155
235,155
749,155
3761,156
8422,156
766,156
1960,157
8157,157
767,157
5577,158
8813,158
772,158
9594,159
1139,159
773,159
1556,160
4679,160
773,160
2071,160
1850,161
5851,161
773,161
9090,162
6596,162
773,162
7094,162
321,163
258,163
780,163
3984,164
3921,164
782,164
874,165
7026,165
790,165
7151,165
1648,166
2194,166
795,166
4572,166
5912,167
5089,167
799,167
3869,167
2819,168
6221,168
799,168
2396,169
1419,169
812,169
6405,169
7059,170
2949,170
813,170
4940,171
9611,171
815,171
6432,172
5257,172
821,172
19,173
2707,173
829,173
2798,174
3747,174
829,174
7638,174
3321,175
4529,175
857,175
5495,176
2827,176
869,176
3495,176
3762,177
5890,177
878,177
6377,178
4824,178
885,178
8149,178
7192,179
6986,179
900,179
8436,180
1758,180
901,180
3286,181
1542,181
902,181
8011,182
4677,182
902,182
7216,183
3851,183
908,183
2854,183
4555,184
7659,184
910,184
6172,185
374,185
918,185
6128,186
5171,186
918,186
1603,187
6227,187
919,187
7275,187
7568,188
5659,188
947,188
3286,188
9817,189
9690,189
948,189
7874,189
8401,190
6751,190
979,190
4680,191
3547,191
981,191
6410,192
9074,192
981,192
4281,193
8903,193
982,193
1663,193
18,194
5291,194
997,194
6537,195
9172,195
997,195
1260,196
1139,196
1021,196
7183,196
9072,197
132,197
1029,197
5230,198
7837,198
1062,198
7141,198
6961,199
1131,199
1069,199
1617,200
5300,200
1073,200
2729,201
6754,201
1087,201
9,202
8722,202
1091,202
2261,202
8236,203
2827,203
1093,203
3045,203
