first_operand,operator,second_operand,answer
5074,-,8630,-3556
4683,*,6557,30706431
4748,*,6634,31498232
6060,+,9523,15583
3601,*,5721,20601321
6195,+,6167,12362
3605,*,6616,23850680
5467,-,8233,-2766
1593,*,7262,11568366
9525,*,8582,81743550
9237,-,2630,6607
3312,-,1568,1744
7496,-,4924,2572
9887,*,7025,69456175
8839,-,5956,2883
2456,+,4363,6819
4420,*,5288,23372960
8073,*,7874,63566802
993,-,5848,-4855
1464,*,5304,7765056
6794,+,8146,14940
745,-,773,-28
7067,-,1704,5363
8012,*,2832,22689984
8242,+,5526,13768
9321,+,4637,13958
3892,+,2542,6434
4503,*,216,972648
4356,-,3794,562
3050,-,1351,1699
3099,*,9010,27921990
8522,-,8737,-215
4930,-,9647,-4717
7680,+,9750,17430
121,+,9275,9396
4576,+,6913,11489
444,*,7019,3116436
3009,+,7095,10104
2809,+,9428,12237
5632,*,4230,23823360
3971,*,7151,28396621
834,-,1795,-961
3191,-,5023,-1832
6598,+,2094,8692
5213,+,1060,6273
2921,*,9000,26289000
1129,-,7801,-6672
9155,*,8524,78037220
236,*,8771,2069956
3961,+,5624,9585
1401,-,1463,-62
8822,+,6023,14845
7428,*,3556,26413968
7443,*,1621,12065103
8054,*,2463,19837002
3403,*,5819,19802057
4565,*,6881,31411765
3964,-,1097,2867
9301,-,6061,3240
2147,-,3662,-1515
4337,*,1237,5364869
6014,+,1722,7736
7987,-,5222,2765
3932,*,1108,4356656
4404,+,9906,14310
5509,+,5390,10899
1246,-,7489,-6243
6341,*,1439,9124699
374,-,5336,-4962
2603,+,5597,8200
2843,+,758,3601
5693,*,2546,14494378
1206,+,4596,5802
4908,+,8059,12967
2502,-,2239,263
7588,*,3149,23894612
6529,*,9719,63455351
694,*,8237,5716478
1232,*,1478,1820896
6141,*,4439,27259899
3963,+,2369,6332
3737,+,4370,8107
6392,*,6664,42596288
5022,+,1514,6536
8534,*,4688,40007392
4517,*,8252,37274284
3165,+,2615,5780
5053,*,9347,47230391
6467,*,8486,54878962
616,+,7005,7621
4755,*,7635,36304425
8756,*,7767,68007852
3884,*,8193,31821612
1375,-,8214,-6839
4894,*,9416,46081904
8352,*,8862,74015424
4911,+,7996,12907
952,*,7847,7470344
3227,-,5207,-1980
4208,*,5226,21991008
7465,*,7096,52971640
657,+,5512,6169
9385,*,6524,61227740
9127,*,9488,86596976
5815,-,4979,836
330,*,8059,2659470
7552,-,2049,5503
7805,*,980,7648900
3109,-,1206,1903
7499,-,9235,-1736
7644,*,8924,68215056
4047,*,73,295431
9382,-,9515,-133
2305,*,3372,7772460
9293,-,7998,1295
6617,-,2700,3917
7720,+,3386,11106
9626,-,1023,8603
6701,-,3287,3414
99,-,6186,-6087
5012,+,9512,14524
1586,-,2827,-1241
2591,*,9622,24930602
2666,+,1638,4304
441,+,6436,6877
2586,-,8689,-6103
2937,+,9231,12168
1429,+,5526,6955
2476,+,7478,9954
9928,*,6724,66755872
4306,+,5297,9603
524,*,2459,1288516
9974,-,7164,2810
4442,-,7352,-2910
6049,*,8836,53448964
25,*,4675,116875
922,-,893,29
255,*,2164,551820
6307,-,3102,3205
6185,+,362,6547
9435,+,460,9895
8286,+,7745,16031
6582,*,7609,50082438
2628,*,9076,23851728
9212,-,9171,41
6327,*,7637,48319299
3356,*,3862,12960872
4392,-,560,3832
7246,-,7451,-205
8104,+,4535,12639
7973,-,3004,4969
7187,+,9235,16422
1507,*,1456,2194192
6548,+,3193,9741
4573,+,9885,14458
5132,*,128,656896
8056,-,5127,2929
2874,*,782,2247468
1179,+,6534,7713
6515,*,7415,48308725
1440,*,9337,13445280
609,*,2763,1682667
9388,*,3687,34613556
2732,*,3385,9247820
1247,-,3547,-2300
5679,-,7025,-1346
9306,+,9245,18551
839,-,4215,-3376
6463,*,8522,55077686
5983,-,6879,-896
2604,+,1832,4436
7335,+,4928,12263
9101,*,7477,68048177
6845,*,7408,50707760
6313,+,2914,9227
6512,*,1004,6538048
1102,+,1563,2665
4664,-,376,4288
6690,-,805,5885
8921,+,940,9861
5719,*,3050,17442950
2981,*,4496,13402576
7697,+,2025,9722
8425,+,5115,13540
197,*,9402,1852194
4304,-,527,3777
5493,+,3791,9284
1711,*,2532,4332252
5245,+,8403,13648
848,+,623,1471
8202,*,3484,28575768
5227,+,7185,12412
1000,-,21,979
9542,*,7466,71240572
3939,+,9844,13783
6182,-,7226,-1044
2614,*,7174,18752836
1722,+,9322,11044
9457,-,9923,-466
6213,+,4400,10613
3967,*,8346,33108582
7868,-,3356,4512
1358,+,8910,10268
3949,*,2551,10073899
9629,-,918,8711
4256,*,3177,13521312
8713,-,5627,3086
2429,*,7584,18421536
2611,-,9529,-6918
5198,*,7573,39364454
6359,*,7134,45365106
2683,+,8430,11113
2603,-,5140,-2537
8418,+,6041,14459
7140,*,3178,22690920
6915,+,1148,8063
9947,-,724,9223
6624,*,2357,15612768
8445,+,2505,10950
7142,-,2506,4636
9362,+,5055,14417
8725,-,9528,-803
9406,-,2643,6763
7099,*,1963,13935337
4193,+,1698,5891
5032,-,7120,-2088
4544,-,6237,-1693
5313,*,8128,43184064
3945,-,4403,-458
402,*,6918,2781036
4312,*,9105,39260760
2914,+,2395,5309
8484,+,1984,10468
899,+,8250,9149
2956,-,7230,-4274
6544,*,8624,56435456
6352,*,2901,18427152
3424,-,6479,-3055
5954,+,4365,10319
9498,*,7505,71282490
227,+,5316,5543
5112,-,2997,2115
4761,*,694,3304134
8703,-,2600,6103
9253,*,3612,33421836
2291,+,7218,9509
3501,*,4849,16976349
955,+,5756,6711
487,-,4232,-3745
6080,*,3710,22556800
5844,-,9920,-4076
1475,*,1422,2097450
1791,+,6394,8185
7207,*,5149,37108843
1511,*,1604,2423644
998,+,367,1365
7587,-,1639,5948
3482,-,2165,1317
2453,*,406,995918
3267,+,2243,5510
2622,-,8532,-5910
7262,+,7953,15215
8785,*,219,1923915
3831,-,2069,1762
6933,+,8623,15556
1846,-,7925,-6079
2988,-,1305,1683
6737,*,2108,14201596
422,+,3378,3800
5037,+,6608,11645
6853,-,9492,-2639
3070,-,8109,-5039
5302,*,46,243892
3381,*,384,1298304
8293,+,6859,15152
1755,+,686,2441
6634,-,6373,261
5668,-,4222,1446
307,+,4364,4671
1876,-,5236,-3360
7238,*,7918,57310484
5133,*,6293,32301969
2998,*,9038,27095924
1284,+,7172,8456
359,+,2349,2708
7307,*,4809,35139363
9011,+,2812,11823
5240,*,9734,51006160
9204,*,3804,35012016
1449,+,5298,6747
2308,*,139,320812
3694,-,6259,-2565
4057,+,7027,11084
832,+,8711,9543
9082,*,4176,37926432
3503,*,6969,24412407
1181,-,6631,-5450
8676,+,7511,16187
4199,-,9145,-4946
9301,*,3535,32879035
1049,+,2776,3825
9312,+,2285,11597
6062,-,5893,169
6220,+,1828,8048
7950,-,2659,5291
8471,*,9934,84150914
8978,-,8358,620
4490,+,6688,11178
7263,*,7273,52823799
3158,-,8563,-5405
9726,-,9686,40
1181,+,9234,10415
5845,+,2223,8068
7294,*,1491,10875354
1763,-,6552,-4789
4326,*,6703,28997178
9934,*,301,2990134
3451,-,8932,-5481
973,-,1222,-249
2210,+,4412,6622
799,-,8938,-8139
4292,-,397,3895
1883,*,1665,3135195
3292,*,1678,5523976
7523,-,8127,-604
4925,-,4547,378
9452,*,3520,33271040
9028,+,3264,12292
123,*,2241,275643
6446,+,6228,12674
7626,+,345,7971
2565,+,753,3318
1462,-,6232,-4770
8286,-,2263,6023
4715,*,2119,9991085
3065,*,3777,11576505
8671,+,4945,13616
824,-,4992,-4168
3026,*,3056,9247456
2057,+,6273,8330
9082,-,3111,5971
4052,*,9414,38145528
8508,-,3513,4995
5198,+,9343,14541
9926,-,5343,4583
9222,-,7818,1404
2240,+,1699,3939
6446,+,655,7101
6608,+,5584,12192
2296,+,2140,4436
9416,*,6459,60817944
4228,-,7309,-3081
9022,+,7985,17007
1060,-,457,603
23,*,2240,51520
8766,*,7105,62282430
5534,*,454,2512436
7764,-,1355,6409
1974,+,7022,8996
6639,-,8206,-1567
2487,-,6884,-4397
4817,-,9673,-4856
7877,-,1273,6604
3334,+,3546,6880
9455,+,9176,18631
368,*,9366,3446688
4259,+,5790,10049
1407,-,9205,-7798
1255,-,3447,-2192
7079,+,6668,13747
4960,+,7642,12602
1244,-,898,346
8597,*,924,7943628
5878,*,9454,55570612
3972,*,1074,4265928
2887,*,6954,20076198
2758,+,544,3302
7255,*,4382,31791410
9971,*,8426,84015646
7330,-,7883,-553
6433,-,1783,4650
2210,*,1523,3365830
255,+,6556,6811
8014,-,2624,5390
2415,-,9650,-7235
7770,-,9275,-1505
2491,+,1037,3528
5128,+,8485,13613
7718,-,8784,-1066
4104,*,9988,40990752
8584,+,4088,12672
1574,+,5301,6875
7617,-,985,6632
2576,+,3630,6206
92,-,5100,-5008
7146,+,1142,8288
4079,+,8018,12097
4785,+,9274,14059
1145,-,3508,-2363
5449,-,7868,-2419
1595,*,2750,4386250
8046,-,7673,373
9149,+,2064,11213
7551,-,1466,6085
8441,-,1351,7090
1365,+,3035,4400
5898,-,5534,364
8877,-,4525,4352
2597,+,7353,9950
1050,-,7390,-6340
7346,+,6108,13454
5595,*,5365,30017175
5338,+,1136,6474
6015,-,1677,4338
9992,-,1016,8976
6826,+,4443,11269
7419,-,2682,4737
6146,+,6822,12968
7076,*,8592,60796992
1386,*,7817,10834362
366,+,4587,4953
7627,-,5626,2001
2569,+,1940,4509
7062,-,1844,5218
1045,-,4024,-2979
7304,-,379,6925
2845,+,8774,11619
4198,-,4994,-796
5540,*,7434,41184360
5545,-,5677,-132
4746,+,1486,6232
5053,-,5968,-915
6148,*,1766,10857368
7487,*,4803,35960061
1893,*,9171,17360703
4280,+,9366,13646
1127,-,1927,-800
8830,+,2667,11497
5090,-,8432,-3342
7983,*,49,391167
8203,*,1755,14396265
982,*,2415,2371530
3726,+,5058,8784
5727,+,1993,7720
6428,+,9402,15830
3761,+,2003,5764
1826,+,157,1983
1905,*,9799,18667095
5843,+,2175,8018
2263,+,4374,6637
9307,+,4159,13466
5574,*,8928,49764672
4733,+,4232,8965
7587,*,9262,70270794
6615,*,7180,47495700
3091,-,3943,-852
8800,-,3318,5482
8811,+,2511,11322
308,-,3141,-2833
5069,+,8181,13250
7435,+,3850,11285
5634,-,3800,1834
6840,+,2276,9116
3712,+,3924,7636
3849,-,7888,-4039
115,-,2819,-2704
5558,+,5062,10620
3572,*,5292,18903024
765,+,9912,10677
2015,*,3229,6506435
3800,*,164,623200
8858,-,6078,2780
5150,-,3873,1277
6623,*,1115,7384645
6877,+,2845,9722
1065,*,3782,4027830
3195,+,1745,4940
117,+,4962,5079
9688,+,8028,17716
1308,*,4487,5868996
7967,-,8353,-386
838,-,904,-66
3341,*,4273,14276093
6879,-,7708,-829
9506,-,3739,5767
9580,*,1660,15902800
4795,*,1112,5332040
7756,-,7422,334
6981,+,1100,8081
6165,-,2131,4034
6379,-,9485,-3106
2510,+,6573,9083
3693,*,7078,26139054
9033,*,8829,79752357
1439,+,418,1857
6607,+,4595,11202
19,+,8914,8933
1303,+,9000,10303
8913,+,2274,11187
1843,+,5095,6938
1886,*,4121,7772206
141,*,5429,765489
1645,*,8025,13201125
6923,*,738,5109174
9159,+,483,9642
2221,-,6930,-4709
8315,-,5707,2608
4245,-,4124,121
7097,+,4766,11863
4562,*,9723,44356326
6392,+,6600,12992
2650,*,1467,3887550
4931,*,2902,14309762
6324,*,4040,25548960
729,+,6149,6878
39,*,4916,191724
4610,-,5612,-1002
1823,+,8564,10387
9801,-,1958,7843
3006,+,8439,11445
4352,+,8781,13133
4825,+,7343,12168
6584,*,8042,52948528
7555,-,4664,2891
1371,*,9378,12857238
572,-,8323,-7751
9981,+,9883,19864
1339,-,2139,-800
6330,+,7975,14305
8657,*,4061,35156077
852,+,9750,10602
4112,-,7662,-3550
2481,+,8728,11209
2127,*,11,23397
1894,*,1221,2312574
2754,+,8357,11111
9987,*,6320,63117840
1520,-,2772,-1252
9373,+,4830,14203
8673,-,3743,4930
4859,*,1166,5665594
9409,+,627,10036
449,-,4885,-4436
7414,*,9341,69254174
6587,-,9280,-2693
7010,+,7046,14056
413,*,5941,2453633
1131,-,8466,-7335
251,-,1072,-821
1670,+,2784,4454
742,+,6808,7550
3034,+,965,3999
6146,-,9876,-3730
2967,-,4155,-1188
9702,-,9102,600
